Name_audio,Chromagram,Mel-scaled-spectrogram,Mel-frequency-coefficients
chouette-hulotte-chant-et-cris1,0.27130514,5.2963753,-16.718676
chouette-hulotte-chant-et-cris2,0.20157845,5.639594,-16.91865
chouette-hulotte-chant-et-cris5,0.24368906,6.3203516,-16.999878
chouette-qui-cri-chant-de-la-chouette-hulotte-strix-aluco-chante-hulule5,0.22535433,20.669596,-12.683818
chouette-qui-cri-chant-de-la-chouette-hulotte-strix-aluco-chante-hulule6,0.23141629,19.157274,-13.504804
chouette-qui-cri-chant-de-la-chouette-hulotte-strix-aluco-chante-hulule7,0.22896847,20.956764,-12.58957
